year,county,population
2020,"Cass County, MI",51589
2020,"Charlevoix County, MI",26054
2020,"Cheboygan County, MI",25579
2020,"Chippewa County, MI",36785
2020,"Clare County, MI",30856
2020,"Clinton County, MI",79128
2020,"Crawford County, MI",12988
2020,"Delta County, MI",36903
2020,"Dickinson County, MI",25947
2020,"Eaton County, MI",109175
2020,"Emmet County, MI",34112
2020,"Genesee County, MI",406211
2020,"Gladwin County, MI",25386
2020,"Gogebic County, MI",14380
2020,"Grand Traverse County, MI",95238
2020,"Gratiot County, MI",41761
2020,"Hillsdale County, MI",45746
2020,"Houghton County, MI",37361
2020,"Huron County, MI",31407
2020,"Ingham County, MI",284900
2020,"Ionia County, MI",66804
2020,"Iosco County, MI",25237
2020,"Iron County, MI",11631
2020,"Isabella County, MI",64394
2020,"Jackson County, MI",160366
2020,"Kalamazoo County, MI",261670
2020,"Kalkaska County, MI",17939
2020,"Kent County, MI",657974
2020,"Keweenaw County, MI",2046
2020,"Lake County, MI",12096
2020,"Lapeer County, MI",88619
2020,"Leelanau County, MI",22301
2020,"Lenawee County, MI",99423
2020,"Livingston County, MI",193866
2020,"Luce County, MI",5339
2020,"Mackinac County, MI",10834
2020,"Macomb County, MI",881217
2020,"Manistee County, MI",25032
2020,"Marquette County, MI",66017
2020,"Mason County, MI",29052
2020,"Mecosta County, MI",39714
2020,"Menominee County, MI",23502
2020,"Midland County, MI",83494
2020,"Missaukee County, MI",15052
2020,"Monroe County, MI",154809
2020,"Montcalm County, MI",66614
2020,"Montmorency County, MI",9153
2020,"Muskegon County, MI",175824
2020,"Newaygo County, MI",49978
2020,"Oakland County, MI",1274395
2020,"Oceana County, MI",26659
2020,"Ogemaw County, MI",20770
2020,"Ontonagon County, MI",5816
2020,"Osceola County, MI",22891
2020,"Oscoda County, MI",8219
2020,"Otsego County, MI",25091
2020,"Ottawa County, MI",296200
2020,"Presque Isle County, MI",12982
2020,"Roscommon County, MI",23459
2020,"Saginaw County, MI",190124
2020,"St. Clair County, MI",160383
2020,"St. Joseph County, MI",60939
2020,"Sanilac County, MI",40611
2020,"Schoolcraft County, MI",8047
2020,"Shiawassee County, MI",68094
2020,"Tuscola County, MI",53323
2020,"Van Buren County, MI",75587
2020,"Washtenaw County, MI",372258
2020,"Wayne County, MI",1793561
2020,"Wexford County, MI",33673
